ID,DDT_R2,DDT_logK
DNS0202,92.68420838,-3.057552026
DNS0203,44.60351802,0.200299935
DNS0205,50,-4.729691785
DNS0206,55.84493138,-3.583004195
DNS0207,91.09769309,-2.390875632
DNS0208,95.58225378,-1.387652065
DNS0210,95.71968941,-3.199311667
DNS0211,99.1796608,-1.62680396
DNS0212,99.12060297,-2.217226472
DNS0213,83.64563751,-1.943480974
DNS0214,80.96671552,-2.916855094
DNS0215,94.7351274,-2.265373547
DNS0216,92.72752239,-2.993397651
DNS0218,95.95855377,-2.622160592
DNS0219,79.96832241,-2.725570758
DNS0220,99.11290129,-2.024117446
DNS0221,83.98379101,-2.891829711
DNS0222,95.77421251,-2.27017917
DNS0223,72.16415027,-3.435818111
DNS0224,92.69098299,-3.315812126
DNS0225,90.60381114,-2.921324106
DNS0226,69.61575334,-1.945293105
DNS0227,99.00048539,-0.802332413
DNS0229,39.07784684,-4.635616156
DNS0230,78.67796599,-2.417813724
DNS0231,87.44192172,-2.724589911
DNS0233,94.11488295,-2.518956696
DNS0234,96.64047936,-1.823378161
DNS0235,90.03011763,-2.266754982
DNS0236,93.58452605,-1.837398895
DNS0237,98.37553778,-3.180978122
DNS0238,77.30741317,-3.84775549
DNS0240,47.70567999,-4.266481191
DNS0242,92.67006729,-1.454094082
DNS0243,80.85857863,-2.147494721
DNS0245,74.14019695,-3.577746759
DNS0246,95.341016,-3.782488921
DNS0247,61.32287695,-3.806092388
DNS0249,98.02708283,-3.383491629
DNS0250,43.78616235,-3.915115978
DNS0252,99.01735783,-2.351239859
DNS0253,81.94788893,-2.867142273
DNS0254,89.38127731,-1.947226131
DNS0255,66.04463375,-1.454094082
DNS0256,74.60247486,-2.496061954
DNS0257,98.09227967,-2.977695348
DNS0258,91.82808874,-3.145061565
DNS0259,95.68092281,-2.289916733
DNS0260,95.68912249,-1.715174789
DNS0261,55.90750532,-3.565922538
DNS0263,55.99358848,-3.957102498
DNS0264,90.55582042,-0.528490632
DNS0268,94.73948047,-2.270818573
DNS0270,66.83696755,-4.020168622
DNS0271,94.75066149,-1.975976259
DNS0272,96.30137949,-2.24910523
DNS0273,99.08023398,-1.980743122
DNS0274,98.69961644,-3.168611474
DNS0275,97.54894479,-2.758678902
DNS0276,96.87023981,-2.315286697
DNS0277,94.31397329,-2.216382936
DNS0278,68.32390485,-3.384890024
DNS0279,97.77823727,-2.357391867
DNS0280,45.52595652,-3.988547063
DNS0281,94.46573552,-1.935919234
DNS0283,95.45188667,-1.626225481
DNS0284,79.70452841,-2.851639801
DNS0285,81.56514836,-2.142895269
DNS0286,91.04776144,-2.557292332
DNS0287,96.0097789,-3.358441684
DNS0288,98.86403141,-1.978208448
DNS0289,98.96216093,-3.204529827
DNS0290,83.80571292,-1.309015535
DNS0291,96.28585045,-1.936145412
DNS0293,76.78938607,-1.923164869
DNS0294,95.09728517,-2.863011868
DNS0295,64.75599108,-2.733334898
DNS0296,86.889134,-3.357347572
DNS0297,50,-4.729691796
DNS0298,94.44163,-3.085389353
DNS0300,88.55022862,-2.706530647
DNS0301,62.7731185,-2.363729391
DNS0302,90.23136514,-1.228300685
DNS0303,99.0489284,-1.854318279
DNS0304,97.18349495,-0.903770176
DNS0305,50.98697396,-3.546880134
DNS0307,97.30883135,-1.991691517
DNS0308,98.65376513,-2.570778328
DNS0309,97.01194347,-2.164292414
DNS0310,96.94315035,-2.434811183
DNS0311,63.83551571,-3.356060312
DNS0312,99.3149537,-2.585850656
DNS0315,80.79048599,-2.621866859
DNS0316,95.24359737,-1.554773862
DNS0318,76.62635651,-3.433252955
DNS0319,80.42437807,-3.469263829
DNS0320,82.36771433,-3.213411055
DNS0323,93.08137377,-3.346781081
DNS0325,78.03439394,-2.561541239
DNS0326,70.81618899,-3.396662337
DNS0327,86.33845056,-2.515330877
DNS0329,98.89959827,-1.442482322
DNS0330,95.18592606,-1.745879906
DNS0331,97.86832186,-1.216139016
DNS0332,81.70800072,-3.225972529
DNS0333,57.63229616,-3.448392959
DNS0334,74.1770123,-2.626518186
DNS0336,96.50226859,-3.560873392
DNS0337,89.07955761,-2.711977456
DNS0338,96.30141987,-1.379795883
DNS0340,79.61342227,-2.23505183
DNS0342,83.27355763,-2.524900696
DNS0343,74.67235964,-3.439637065
DNS0344,97.50951216,-2.033253442
DNS0345,91.51408029,-1.398183334
DNS0346,97.79058097,-2.056559786
DNS0347,59.03789872,-3.400503908
DNS0348,94.1595312,-1.780035986
DNS0351,98.69500603,-2.149340927
DNS0352,94.55106174,-2.36213693
DNS0353,84.37830781,-2.417094226
DNS0354,65.42922867,-2.586269417
DNS0355,95.2699571,-1.962331272
DNS0357,96.32309857,-2.407993398
DNS0359,90.88064938,-2.678939679
DNS0361,91.00092684,-2.439569202
DNS0362,70.5578499,-2.790103519
DNS0363,93.7638604,-1.813019297
DNS0364,91.19756434,-1.880571234
DNS0365,39.4909551,-4.219309983
DNS0366,97.33571429,-1.782687618
DNS0367,62.31653286,-4.016454608
DNS0368,99.45226166,-1.957559974
DNS0369,95.24523524,-2.166139342
DNS0372,97.53792566,-1.67886882
DNS0373,94.26460737,-2.314221896
DNS0374,95.91731672,-3.131891503
DNS0375,89.65649406,-2.626026213
DNS0376,94.6087572,-1.003282829
DNS0377,91.09924576,-2.589088171
DNS0378,81.51945575,-3.571726472
DNS0379,57.99417999,-3.527611006
DNS0380,63.67421584,-3.81508722
DNS0381,59.90692654,-3.805198565
DNS0382,95.83929439,-1.814835124
DNS0383,90.33919647,-2.676202886
DNS0384,69.06456204,-3.294433003
DNS0385,93.30376106,-2.574701649
DNS0386,77.53212875,-3.704580863
DNS0387,69.44893327,-4.093412246
DNS0388,85.10062944,-1.46029237
DNS0389,92.99034518,-2.369627188
DNS0390,86.68299028,-1.883608089
DNS0391,88.93472033,-2.062801712
DNS0392,85.75436037,-3.165730721
DNS0393,92.9224161,-2.06715952
DNS0394,94.26958338,-2.05387037
DNS0395,98.10939825,-2.303911244
DNS0396,90.70678012,-1.491499778
DNS0397,92.50151127,-1.70189789
DNS0398,81.5512282,-2.551692533
DNS0399,94.11488293,-2.518956701
DNS0400,81.32892899,-2.841014996
DNS0401,90.23393115,-2.154870461
DNS0402,90.10775098,-2.283007269
DNS0404,50,-4.729691783
DNS0405,98.78834303,-1.782813927
DNS0406,54.50982233,-3.060456276
DNS0407,87.25838699,-3.009942122
DNS0408,82.74741066,-3.581325965
DNS0409,65.82939539,-4.063290161
DNS0410,94.55788589,-1.350955984
DNS0411,93.40939007,-1.31194939
DNS0412,97.00354942,-3.375056623
DNS0413,87.16220034,-1.497494809
DNS0415,96.8601814,-2.203166851
DNS0416,97.81504506,-0.683229433
DNS0419,66.8369677,-4.020168618
DNS0420,40.05350269,-4.555059782
DNS0422,93.58612903,-2.131257808
DNS0423,87.77456611,-3.146571003
DNS0424,92.92024569,-3.6319427
DNS0426,66.83696765,-4.020168619
DNS0428,99.44322453,-1.894137701
DNS0431,79.35398839,-3.178758691
DNS0432,93.55689964,-2.3150843
DNS0433,75.04352387,-2.651264886
DNS0435,82.76608584,-2.373119507
DNS0436,93.07333093,-2.31187444
DNS0437,77.39545973,-2.977768372
DNS0440,81.51945545,-3.571726481
DNS0441,92.2234199,-2.379845696
DNS0443,95.80751076,-2.570601942
DNS0444,58.89087075,-3.769419109
DNS0445,93.01500424,-1.860019864
DNS0446,90.88808982,-1.457620819
DNS0447,79.59528084,-2.707487847
DNS0448,97.76577565,-2.282593791
DNS0449,50,-4.729691812
DNS0450,81.46747827,-3.038474307
DNS0451,61.70209358,-3.601725016
DNS0452,97.05856273,-3.345465568
DNS0453,89.33811979,-2.496812068
DNS0454,76.84344215,-3.267993756
DNS0455,80.09318111,-1.518258059
DNS0456,98.215266,-2.273236468
DNS0457,99.02612063,-1.705590437
DNS0458,91.10919302,-2.045957024
DNS0459,94.56541159,-3.288340371
DNS0460,98.34305061,-3.464800075
DNS0462,90.48865333,-1.774797016
DNS0463,91.8093522,-3.052053413
DNS0464,97.13222156,-1.536213062
DNS0465,97.47866203,-1.808307191
DNS0466,95.17641398,-2.793531464
DNS0467,95.40775926,-2.284761586
DNS0469,90.60600041,-3.903031606
DNS0470,85.8446025,-2.968572288
DNS0471,96.47613975,-1.900631616
DNS0473,86.30971016,-1.745812409
DNS0475,32.0908212,-4.80309081
DNS0476,96.26843591,-2.401921667
DNS0477,97.81316366,-1.801490297
DNS0478,97.16130201,-2.239982481
DNS0479,69.38283416,-3.45494774
DNS0480,94.5086876,-2.403530074
DNS0481,62.22476251,-3.228061844
DNS0482,93.14202352,-2.355140252
DNS0484,87.66019276,-3.143713465
DNS0485,95.87598827,-2.277362977
DNS0486,84.49920128,-3.369302857
DNS0487,98.96216093,-3.204529827
DNS0488,96.50027142,-3.543882218
DNS0489,85.66718085,-3.507579543
DNS0490,96.73294781,-2.601129508
DNS0491,96.50191909,-1.995058474
